,Experiment Name,Graph,Data Size,Node Size,Edge Size,Dynamics,Method,Model,Acc,TP,FP,FN,Loss,Prediction Acc/MSE,Run Time,Epochs,X
10,voter_50K_grid_25_MLP_gradient_based5,grid,50K,30,40,voter,gradient_based,MLP,1.0,1.0,0.0,0.0,0.0,0.81,820.9022326469421,100.0,5.0
11,voter_50K_grid_25_MLP_deeplift5,grid,50K,30,40,voter,deeplift,MLP,1.0,1.0,0.0,0.0,0.0,0.81,667.373028755188,100.0,5.0
12,voter_50K_grid_49_MLP_input_change5,grid,50K,50,84,voter,input_change,MLP,1.0,1.0,0.0,0.0,0.0,0.85,789.67893242836,100.0,5.0
13,voter_50K_grid_49_MLP_gradient_based5,grid,50K,50,84,voter,gradient_based,MLP,1.0,1.0,0.0,0.0,0.0,0.85,1381.0808560848236,100.0,5.0
14,voter_50K_grid_49_MLP_deeplift5,grid,50K,50,84,voter,deeplift,MLP,1.0,1.0,0.0,0.0,0.0,0.85,790.8343496322632,100.0,5.0
15,gol_50K_erdos_10_MLP_input_change5,erdos,50K,10,8,gol,input_change,MLP,0.8,0.375,0.119047619047619,0.625,10.0,0.8,432.8958525657654,100.0,5.0
16,gol_50K_erdos_10_MLP_gradient_based5,erdos,50K,10,8,gol,gradient_based,MLP,0.48,0.5,0.5238095238095238,0.5,26.0,0.8,483.6570880413056,100.0,5.0
17,gol_50K_erdos_10_MLP_deeplift5,erdos,50K,10,8,gol,deeplift,MLP,0.56,0.375,0.4047619047619047,0.625,22.0,0.8,444.5672345161438,100.0,5.0
18,gol_50K_erdos_50_MLP_input_change5,erdos,50K,50,186,gol,input_change,MLP,1.0,1.0,0.0,0.0,0.0,0.7,809.6852114200592,100.0,5.0
19,gol_50K_erdos_50_MLP_gradient_based5,erdos,50K,50,186,gol,gradient_based,MLP,1.0,1.0,0.0,0.0,0.0,0.7,1857.5587847232816,100.0,5.0
20,gol_50K_erdos_50_MLP_deeplift5,erdos,50K,50,186,gol,deeplift,MLP,1.0,1.0,0.0,0.0,0.0,0.7,811.9811608791351,100.0,5.0
21,gol_50K_erdos_100_MLP_input_change5,erdos,50K,100,714,gol,input_change,MLP,0.9996,1.0,0.0004666355576294,0.0,2.0,0.71,1578.2497744560242,100.0,5.0
